key,location,
angiography,https://10.70.12.114/test/timeline/pics/angiography.png,
Bacteria,https://10.70.12.114/test/timeline/pics/Bacteria.png,
BLOOD TRANSFUSION,https://10.70.12.114/test/timeline/pics/BLOOD_TRANSFUSION.png,
BLOOD SMEAR INTERPRETATION /BONE MARROW_M,https://10.70.12.114/test/timeline/pics/BLOOD_SMEAR_INTERPRETATION_BONE MARROW_M.png,
CHEST-M,https://10.70.12.114/test/timeline/pics/CHEST-M.png,
CPR,https://10.70.12.114/test/timeline/pics/CPR.png,
C/T,https://10.70.12.114/test/timeline/pics/CT.png,
Drainage,https://10.70.12.114/test/timeline/pics/Drainage.png,
Drug,https://10.70.12.114/test/timeline/pics/Drug.png,
ECHO/ERCP/graphy,https://10.70.12.114/test/timeline/pics/ECHO_ERCP_graphy.png,
EEG,https://10.70.12.114/test/timeline/pics/EEG.png,
Endo,https://10.70.12.114/test/timeline/pics/Endo.png,
Feeding,https://10.70.12.114/test/timeline/pics/Feeding.png,
H/D,https://10.70.12.114/test/timeline/pics/HD.png,
ISOLATION,https://10.70.12.114/test/timeline/pics/ISOLATION.png,
Lab,https://10.70.12.114/test/timeline/pics/Lab.png,
LOW PRESSURE SUCTION,https://10.70.12.114/test/timeline/pics/LOW_PRESSURE_SUCTION.png,
MRI,https://10.70.12.114/test/timeline/pics/MRI.png,
PICC,https://10.70.12.114/test/timeline/pics/PICC.png,
Puncture,https://10.70.12.114/test/timeline/pics/Puncture.png,
Scopy,https://10.70.12.114/test/timeline/pics/Scopy.png,
T.A.E,https://10.70.12.114/test/timeline/pics/TAE.png,
TEE,https://10.70.12.114/test/timeline/pics/TEE.png,
X-ray,https://10.70.12.114/test/timeline/pics/X-ray.png,
